id,__label__bul_Cyrl,link,text_lang,video_lang
HFyFY-dCkuU,0.9998682737350464,https://youtube.com/watch?v=HFyFY-dCkuU,1.0,1
jFMjf-lE-U8,0.9974775314331056,https://youtube.com/watch?v=jFMjf-lE-U8,0.5,1
GGcGQ-7bt-g,0.999987006187439,https://youtube.com/watch?v=GGcGQ-7bt-g,1.0,1
ZblKU-Ltszg,0.9999539852142334,https://youtube.com/watch?v=ZblKU-Ltszg,0.5,1
ecTWR-GSz1E,0.9918937683105468,https://youtube.com/watch?v=ecTWR-GSz1E,1.0,0
njQkX-MSXwI,1.000009059906006,https://youtube.com/watch?v=njQkX-MSXwI,1.0,1
NCgad-3cEbI,0.9903925061225892,https://youtube.com/watch?v=NCgad-3cEbI,0.5,1
VRAxu-k67Lc,0.9998438358306884,https://youtube.com/watch?v=VRAxu-k67Lc,1.0,1
rrtLI-h-2cQ,1.000009059906006,https://youtube.com/watch?v=rrtLI-h-2cQ,1.0,1
awiTf-WH-Xs,0.999990701675415,https://youtube.com/watch?v=awiTf-WH-Xs,1.0,1
GcFch-x2I3c,0.9550479054450988,https://youtube.com/watch?v=GcFch-x2I3c,1.0,0
lZbqK-6eWbo,0.9497316479682922,https://youtube.com/watch?v=lZbqK-6eWbo,1.0,0
GtiPS-d9-cQ,0.953196346759796,https://youtube.com/watch?v=GtiPS-d9-cQ,0.0,0
ROZyk-egGM8,0.9462517499923706,https://youtube.com/watch?v=ROZyk-egGM8,1.0,1
EtWfI--Q4mc,0.9465450644493104,https://youtube.com/watch?v=EtWfI--Q4mc,0.5,
Reflj-ZRpWc,0.951259195804596,https://youtube.com/watch?v=Reflj-ZRpWc,0.0,0
EFWUv-fiQDI,0.9473362565040588,https://youtube.com/watch?v=EFWUv-fiQDI,1.0,0
JgjCt-qvGDQ,0.94656103849411,https://youtube.com/watch?v=JgjCt-qvGDQ,0.0,0
NgeeC-DeMK4,0.8986597061157227,https://youtube.com/watch?v=NgeeC-DeMK4,1.0,0
QYLdX-pbQ5k,0.892113447189331,https://youtube.com/watch?v=QYLdX-pbQ5k,1.0,1
YHcUH-Ph6Mo,0.899616539478302,https://youtube.com/watch?v=YHcUH-Ph6Mo,1.0,0
ZYOtP-gmR6g,0.8987564444541931,https://youtube.com/watch?v=ZYOtP-gmR6g,0.0,0
BsyLJ-f2Vz4,0.8919952511787415,https://youtube.com/watch?v=BsyLJ-f2Vz4,1.0,0
AwXEe-rIoMU,0.8020635843276978,https://youtube.com/watch?v=AwXEe-rIoMU,0.0,
MCHtE-g75GU,0.8024457097053528,https://youtube.com/watch?v=MCHtE-g75GU,0.0,0
hmMPZ-zNkM4,0.6962342262268066,https://youtube.com/watch?v=hmMPZ-zNkM4,1.0,0
adBKX-TaYOk,0.6962283849716187,https://youtube.com/watch?v=adBKX-TaYOk,1.0,0
mSSie-DT6sM,0.7005982995033264,https://youtube.com/watch?v=mSSie-DT6sM,1.0,
zopFo-nAfWM,0.698201060295105,https://youtube.com/watch?v=zopFo-nAfWM,1.0,"0,5"
HTiqa-a-OfU,0.6909078359603882,https://youtube.com/watch?v=HTiqa-a-OfU,0.5,0
xgISg-fkfBM,0.6077791452407837,https://youtube.com/watch?v=xgISg-fkfBM,0.0,0
aHvbE-rOssI,0.6054090261459351,https://youtube.com/watch?v=aHvbE-rOssI,1.0,0
gijVd-gUchg,0.5082679390907288,https://youtube.com/watch?v=gijVd-gUchg,1.0,0
