id,__label__ces_Latn,link,text_lang,video_lang,Unnamed: 6
eMGsl-usHTA,0.9997794032096864,https://youtube.com/watch?v=eMGsl-usHTA,1.0,1,
lFHgX-mYxsk,1.0000100135803225,https://youtube.com/watch?v=lFHgX-mYxsk,1.0,1,
yWtab-1pbho,0.999692440032959,https://youtube.com/watch?v=yWtab-1pbho,1.0,1,
mYqjL-OU6E4,0.9987042546272278,https://youtube.com/watch?v=mYqjL-OU6E4,1.0,0,
kvMtR-BOzJg,0.9999996423721312,https://youtube.com/watch?v=kvMtR-BOzJg,1.0,0,
QTVSP-5nwRc,0.999547839164734,https://youtube.com/watch?v=QTVSP-5nwRc,1.0,0,
aIToR-eQH2Y,1.0000100135803225,https://youtube.com/watch?v=aIToR-eQH2Y,1.0,0.5,
xkPsA-HNK24,1.0000019073486328,https://youtube.com/watch?v=xkPsA-HNK24,1.0,1,
GiIMo-ACNPE,0.9988638162612916,https://youtube.com/watch?v=GiIMo-ACNPE,1.0,1,
GuXac-BhJQU,0.9989928603172302,https://youtube.com/watch?v=GuXac-BhJQU,1.0,0,
VnGnT-omqI0,0.9454849362373352,https://youtube.com/watch?v=VnGnT-omqI0,1.0,0,
efEwC-0BjGA,0.9558501839637756,https://youtube.com/watch?v=efEwC-0BjGA,0.0,,
bAcBm-Tzy9U,0.9431121945381165,https://youtube.com/watch?v=bAcBm-Tzy9U,0.5,1,
otjlI-yoTWc,0.9543402791023254,https://youtube.com/watch?v=otjlI-yoTWc,0.0,0,
awHOQ-j9j08,0.9550145268440248,https://youtube.com/watch?v=awHOQ-j9j08,1.0,,
Ufijw-LOH6Y,0.9596726894378662,https://youtube.com/watch?v=Ufijw-LOH6Y,0.5,1,
nKnfy-HW2Go,0.951715350151062,https://youtube.com/watch?v=nKnfy-HW2Go,1.0,Not available anymore,
pcPZd-evIcg,0.9428067803382874,https://youtube.com/watch?v=pcPZd-evIcg,0.5,0 - Slovak so not Czech,
xkbAx-X_Oww,0.958027184009552,https://youtube.com/watch?v=xkbAx-X_Oww,0.5,0,
ycPrN-VJZeQ,0.9512741565704346,https://youtube.com/watch?v=ycPrN-VJZeQ,1.0,1,
lkybH-7GSos,0.9066192507743835,https://youtube.com/watch?v=lkybH-7GSos,0.0,Not available anymore,
mBGxD-pV1yQ,0.9074242115020752,https://youtube.com/watch?v=mBGxD-pV1yQ,0.0,0,
Eajvv-ydBuc,0.9096800684928894,https://youtube.com/watch?v=Eajvv-ydBuc,0.0,0,
