id,__label__deu_Latn,link,text_lang,video_lang
cEAeV-yHzE8,0.9972239136695862,https://youtube.com/watch?v=cEAeV-yHzE8,1,1
OxQRG-VeziM,0.999744713306427,https://youtube.com/watch?v=OxQRG-VeziM,1,1
FhIPi-j7MWs,0.9985146522521972,https://youtube.com/watch?v=FhIPi-j7MWs,1,1
wIsBa-9mVp0,0.9999698400497437,https://youtube.com/watch?v=wIsBa-9mVp0,1,0
xYxEN-2SLtE,0.9936988353729248,https://youtube.com/watch?v=xYxEN-2SLtE,1,1
mZlTt-ezQT4,0.9990537762641908,https://youtube.com/watch?v=mZlTt-ezQT4,1,1
FxqUG-zJjtA,0.9996368885040284,https://youtube.com/watch?v=FxqUG-zJjtA,1,0
BTGyE-kJXno,0.9989163875579834,https://youtube.com/watch?v=BTGyE-kJXno,"0,5","0,5"
oYUpV-YuVCw,0.9995328187942504,https://youtube.com/watch?v=oYUpV-YuVCw,1,1
mLeqA-mqI44,0.9990352392196656,https://youtube.com/watch?v=mLeqA-mqI44,1,"0,5"
yeudF-wVypw,0.9580561518669128,https://youtube.com/watch?v=yeudF-wVypw,1,NA 
zkEtL-rcY1o,0.9485991597175598,https://youtube.com/watch?v=zkEtL-rcY1o,"0,5",1
KqEty-yt9k0,0.9521448612213136,https://youtube.com/watch?v=KqEty-yt9k0,1,1
pDDUk-WEn4Q,0.9570178389549256,https://youtube.com/watch?v=pDDUk-WEn4Q,0,0
Hkglr-cqEuM,0.9420822858810424,https://youtube.com/watch?v=Hkglr-cqEuM,"0,5",0
dnJQx-U1oQA,0.9594296813011168,https://youtube.com/watch?v=dnJQx-U1oQA,0,0
LDhwX-77Zbg,0.9501971006393432,https://youtube.com/watch?v=LDhwX-77Zbg,1,0
qbBao-HGCTI,0.9420822858810424,https://youtube.com/watch?v=qbBao-HGCTI,"0,5",0
IOBqy-z89aE,0.958573877811432,https://youtube.com/watch?v=IOBqy-z89aE,"0,5",1
SvkgR-r3YzY,0.9582697749137878,https://youtube.com/watch?v=SvkgR-r3YzY,"0,5",1
GknSH-uiWOQ,0.8912447690963745,https://youtube.com/watch?v=GknSH-uiWOQ,"0,5",1
nyidu-RN634,0.8905212879180908,https://youtube.com/watch?v=nyidu-RN634,"0,5",NA 
heQae-KJqHA,0.8969467282295227,https://youtube.com/watch?v=heQae-KJqHA,"0,5",0
NNwvk-vsiLk,0.905705749988556,https://youtube.com/watch?v=NNwvk-vsiLk,"0,5",1
VpJXR-ONbzc,0.894572377204895,https://youtube.com/watch?v=VpJXR-ONbzc,0,0
EelMh-w8jjE,0.8942925333976746,https://youtube.com/watch?v=EelMh-w8jjE,0,0
OuOTV-5_ZfQ,0.8923116326332092,https://youtube.com/watch?v=OuOTV-5_ZfQ,1,0
ZVQII-UI9rs,0.8903210759162903,https://youtube.com/watch?v=ZVQII-UI9rs,1,1
JhArl-MiGkM,0.8932600021362305,https://youtube.com/watch?v=JhArl-MiGkM,1,1
EwCVU-bW8wk,0.9023399949073792,https://youtube.com/watch?v=EwCVU-bW8wk,"0,5",1
aqSiS-umEQA,0.8070012927055359,https://youtube.com/watch?v=aqSiS-umEQA,"0,5",0
XJHeY-bqezQ,0.8070012927055359,https://youtube.com/watch?v=XJHeY-bqezQ,"0,5",0
CfMPY-o6OWg,0.7984510660171509,https://youtube.com/watch?v=CfMPY-o6OWg,1,0
CSojW-dmBs8,0.7974330186843872,https://youtube.com/watch?v=CSojW-dmBs8,1,0
NPDKg-0dYx4,0.7992919683456421,https://youtube.com/watch?v=NPDKg-0dYx4,1,0
VzBWQ-Lufec,0.8011626601219177,https://youtube.com/watch?v=VzBWQ-Lufec,1,1
