id,__label__ell_Grek,link,text_language,video_language
kfGZD-00f7I,1.0000097751617432,https://youtube.com/watch?v=kfGZD-00f7I,1.0,0.0
nIGtb-iNpzI,1.0000091791152954,https://youtube.com/watch?v=nIGtb-iNpzI,0.5,1.0
Wecct-uJ2kM,1.0000025033950806,https://youtube.com/watch?v=Wecct-uJ2kM,0.5,1.0
GRyno-OMJQI,1.0000003576278689,https://youtube.com/watch?v=GRyno-OMJQI,0.5,1.0
MMqfF-2K2ZE,0.9998971223831176,https://youtube.com/watch?v=MMqfF-2K2ZE,1.0,1.0
mxuiz-buLU0,0.9998942613601683,https://youtube.com/watch?v=mxuiz-buLU0,0.5,1.0
NUoDt-dcGNk,0.9998199343681335,https://youtube.com/watch?v=NUoDt-dcGNk,0.5,1.0
zHDFI-7TKM8,0.999478280544281,https://youtube.com/watch?v=zHDFI-7TKM8,1.0,0.5
Attky-yf02I,0.9988866448402404,https://youtube.com/watch?v=Attky-yf02I,0.5,
uVget-5HJAM,0.995926320552826,https://youtube.com/watch?v=uVget-5HJAM,0.5,0.0
mRilr-_CVvQ,0.9565675854682922,https://youtube.com/watch?v=mRilr-_CVvQ,0.5,1.0
ipuZn-KZhvs,0.9551206827163696,https://youtube.com/watch?v=ipuZn-KZhvs,1.0,0.0
pFcqo-Znv_c,0.9535837173461914,https://youtube.com/watch?v=pFcqo-Znv_c,0.5,1.0
IrupP-a9bTw,0.9174779057502748,https://youtube.com/watch?v=IrupP-a9bTw,1.0,0.5
Gikiw-J-fxg,0.9034282565116882,https://youtube.com/watch?v=Gikiw-J-fxg,0.5,0.0
QVwuH-ua-9g,0.8621296882629395,https://youtube.com/watch?v=QVwuH-ua-9g,1.0,1.0
gbnep-tdBLg,0.8514803051948547,https://youtube.com/watch?v=gbnep-tdBLg,1.0,1.0
bqJLS-JI_PA,0.8475641012191772,https://youtube.com/watch?v=bqJLS-JI_PA,1.0,0.5
nLuzq-wgkBI,0.8439781069755554,https://youtube.com/watch?v=nLuzq-wgkBI,1.0,1.0
kWJiv-2GTec,0.8433650732040405,https://youtube.com/watch?v=kWJiv-2GTec,1.0,1.0
QeSME-5CF20,0.8385280966758728,https://youtube.com/watch?v=QeSME-5CF20,1.0,1.0
