id,__label__eng_Latn,link,text_language,video_language
bmmPr-_uQxs,0.9999567270278932,https://youtube.com/watch?v=bmmPr-_uQxs,1.0,1.0
HWgtx-70TBs,0.999996781349182,https://youtube.com/watch?v=HWgtx-70TBs,1.0,0.5
wCucR-Gn72A,0.996110200881958,https://youtube.com/watch?v=wCucR-Gn72A,1.0,
Nvulg-JskJA,0.9987573623657228,https://youtube.com/watch?v=Nvulg-JskJA,1.0,1.0
JWIcj-5_5nw,0.991166353225708,https://youtube.com/watch?v=JWIcj-5_5nw,1.0,1.0
hSBdf-CvOb4,0.9999709129333496,https://youtube.com/watch?v=hSBdf-CvOb4,1.0,0.0
CDMhm-DcpUk,0.999908685684204,https://youtube.com/watch?v=CDMhm-DcpUk,1.0,0.0
gnBZu-oPsLs,0.9996492862701416,https://youtube.com/watch?v=gnBZu-oPsLs,1.0,0.0
UDcUy-W4Fo0,0.9999771118164062,https://youtube.com/watch?v=UDcUy-W4Fo0,1.0,1.0
yQDVO-AKgq4,1.0000081062316897,https://youtube.com/watch?v=yQDVO-AKgq4,1.0,0.0
xCmuI-_eNjA,0.9583889245986938,https://youtube.com/watch?v=xCmuI-_eNjA,0.5,0.0
hcfPo-E8guo,0.956682562828064,https://youtube.com/watch?v=hcfPo-E8guo,1.0,0.0
slldY-wcVUA,0.9438300132751464,https://youtube.com/watch?v=slldY-wcVUA,1.0,1.0
YMqhB-l3DRw,0.9575525522232056,https://youtube.com/watch?v=YMqhB-l3DRw,1.0,1.0
ZXTzM-KiihA,0.954241156578064,https://youtube.com/watch?v=ZXTzM-KiihA,1.0,0.0
gliTq-vZGC0,0.9413531422615052,https://youtube.com/watch?v=gliTq-vZGC0,1.0,1.0
HPVHk-hXYMQ,0.9545676112174988,https://youtube.com/watch?v=HPVHk-hXYMQ,1.0,0.0
QEUet-eufbw,0.959472119808197,https://youtube.com/watch?v=QEUet-eufbw,1.0,0.0
dtJnI-vO9mQ,0.9424317479133606,https://youtube.com/watch?v=dtJnI-vO9mQ,1.0,0.0
HsSpF-UPJsM,0.950549066066742,https://youtube.com/watch?v=HsSpF-UPJsM,0.5,0.0
VhAlx-i0X_0,0.9083488583564758,https://youtube.com/watch?v=VhAlx-i0X_0,1.0,0.0
ZzfgB-mfsFY,0.9049228429794312,https://youtube.com/watch?v=ZzfgB-mfsFY,1.0,0.0
caEjE--ccRw,0.8983296751976013,https://youtube.com/watch?v=caEjE--ccRw,1.0,0.0
ZKUHP-DDt9g,0.8913970589637756,https://youtube.com/watch?v=ZKUHP-DDt9g,1.0,0.0
qkhZG-XRLcU,0.8961325883865356,https://youtube.com/watch?v=qkhZG-XRLcU,1.0,1.0
PvdPa-TBIOg,0.8969229459762573,https://youtube.com/watch?v=PvdPa-TBIOg,1.0,1.0
rSyjk-f5cCo,0.8918452858924866,https://youtube.com/watch?v=rSyjk-f5cCo,1.0,0.0
