id,text_lang,link,video_lang,__label__hun_Latn
buHck-EFA7o,1.0,https://youtube.com/watch?v=buHck-EFA7o,1,1.00001001358032
UFjUA-q2BK8,1.0,https://youtube.com/watch?v=UFjUA-q2BK8,1,1.00000703334808
cnRBp-u1irk,1.0,https://youtube.com/watch?v=cnRBp-u1irk,1,1.00000846385956
bvSCd-XNLzE,1.0,https://youtube.com/watch?v=bvSCd-XNLzE,1,1.00000989437103
PSRlO-HbTO4,1.0,https://youtube.com/watch?v=PSRlO-HbTO4,1,0.999963164329529
LKkmE-_m4r4,1.0,https://youtube.com/watch?v=LKkmE-_m4r4,1,0.999791324138641
ruDBa-zqkYs,1.0,https://youtube.com/watch?v=ruDBa-zqkYs,0,0.991871476173401
djwuB-atvzg,0.5,https://youtube.com/watch?v=djwuB-atvzg,0,0.999232769012451
kxOPQ-r4E6Q,1.0,https://youtube.com/watch?v=kxOPQ-r4E6Q,1,0.995423913002014
pgEGp-Y6JoA,1.0,https://youtube.com/watch?v=pgEGp-Y6JoA,1,0.994628250598908
XaPLp-znXKA,1.0,https://youtube.com/watch?v=XaPLp-znXKA,1,0.957847893238068
UMbhj-X9J9o,0.0,https://youtube.com/watch?v=UMbhj-X9J9o,0,0.949541568756104
gyZDr-V4Qp8,1.0,https://youtube.com/watch?v=gyZDr-V4Qp8,1,0.955979764461517
zByqJ-8MpmE,1.0,https://youtube.com/watch?v=zByqJ-8MpmE,1,0.955693542957306
WhwDE-yXkT0,1.0,https://youtube.com/watch?v=WhwDE-yXkT0,0,0.952522397041321
uWZEC-vA-fA,0.5,https://youtube.com/watch?v=uWZEC-vA-fA,0,0.945513248443604
cdnoa-cXSh0,0.0,https://youtube.com/watch?v=cdnoa-cXSh0,0,0.950732111930847
UbdLS-vM2so,0.0,https://youtube.com/watch?v=UbdLS-vM2so,0,0.952248275279999
CFbEF-JiLWM,1.0,https://youtube.com/watch?v=CFbEF-JiLWM,0,0.951205492019653
ukvdr-L_Kic,1.0,https://youtube.com/watch?v=ukvdr-L_Kic,1,0.94731068611145
WumQM-tylSo,0.0,https://youtube.com/watch?v=WumQM-tylSo,0,0.902287781238556
