id,__label__ita_Latn,link,text_lang,video_lang
jQnml-8pEhE,0.99993634223938,https://youtube.com/watch?v=jQnml-8pEhE,1,0.0
DpCFt-NbcxM,0.9998583793640136,https://youtube.com/watch?v=DpCFt-NbcxM,1,1.0
sHgOp-BKbuw,0.9999022483825684,https://youtube.com/watch?v=sHgOp-BKbuw,1,1.0
pOfga-LTREQ,0.9997215867042542,https://youtube.com/watch?v=pOfga-LTREQ,1,1.0
JYYTx-fGJ2w,0.9993115663528442,https://youtube.com/watch?v=JYYTx-fGJ2w,1,1.0
hFWVa-m4zec,0.9996832609176636,https://youtube.com/watch?v=hFWVa-m4zec,1,1.0
ilqwt-ptL8k,0.9996861219406128,https://youtube.com/watch?v=ilqwt-ptL8k,1,1.0
rZkHm-B1mdU,0.999733865261078,https://youtube.com/watch?v=rZkHm-B1mdU,1,1.0
afPDM-Q2bHM,0.9962098002433776,https://youtube.com/watch?v=afPDM-Q2bHM,1,1.0
SFnHe-Gs_oA,0.9999241828918456,https://youtube.com/watch?v=SFnHe-Gs_oA,1,1.0
RzZNB-XVBoA,0.9515782594680786,https://youtube.com/watch?v=RzZNB-XVBoA,1,1.0
SgaZA-2tZvs,0.9577254056930542,https://youtube.com/watch?v=SgaZA-2tZvs,1,0.0
PEzUu-cqcME,0.9445332884788512,https://youtube.com/watch?v=PEzUu-cqcME,1,0.0
Fugww-T2H00,0.9556898474693298,https://youtube.com/watch?v=Fugww-T2H00,1,1.0
FySAz-HbuyA,0.941670060157776,https://youtube.com/watch?v=FySAz-HbuyA,1,1.0
hkmgw--ztvI,0.946513295173645,https://youtube.com/watch?v=hkmgw--ztvI,1,0.0
ckdGr-gDLvQ,0.9486346244812012,https://youtube.com/watch?v=ckdGr-gDLvQ,1,1.0
xnqvt-nuhQA,0.9565715193748474,https://youtube.com/watch?v=xnqvt-nuhQA,1,
nVoax-ELypw,0.9540000557899476,https://youtube.com/watch?v=nVoax-ELypw,1,
zqhnn-JZD4g,0.9568283557891846,https://youtube.com/watch?v=zqhnn-JZD4g,1,0.0
KzbGR-xHJ34,0.8937520980834961,https://youtube.com/watch?v=KzbGR-xHJ34,0,0.0
mxzjc-gr3Uw,0.9015290141105652,https://youtube.com/watch?v=mxzjc-gr3Uw,0,
EJoce-Q-bfM,0.9045603275299072,https://youtube.com/watch?v=EJoce-Q-bfM,1,1.0
WUmQm-KClx0,0.8986624479293823,https://youtube.com/watch?v=WUmQm-KClx0,1,1.0
pdUfZ-gtbuI,0.9049267768859864,https://youtube.com/watch?v=pdUfZ-gtbuI,1,0.0
sNrqz-BFgaI,0.891610860824585,https://youtube.com/watch?v=sNrqz-BFgaI,1,1.0
yumEV-01HDY,0.9070900082588196,https://youtube.com/watch?v=yumEV-01HDY,1,1.0
qlAaH-gEln0,0.8932844400405884,https://youtube.com/watch?v=qlAaH-gEln0,0,0.0
cibcO-E4t6w,0.8982329964637756,https://youtube.com/watch?v=cibcO-E4t6w,1,1.0
kLpaH-BICQ0,0.9075838923454284,https://youtube.com/watch?v=kLpaH-BICQ0,1,1.0
YkEjP-dXkRs,0.8062151670455933,https://youtube.com/watch?v=YkEjP-dXkRs,1,1.0
zpPnu-F3GNw,0.7973836064338684,https://youtube.com/watch?v=zpPnu-F3GNw,0,0.0
PDyYj-aKuEQ,0.7988685965538025,https://youtube.com/watch?v=PDyYj-aKuEQ,0,0.0
FReIr-6_5MU,0.8093072772026062,https://youtube.com/watch?v=FReIr-6_5MU,1,1.0
WKGwe-f_yO4,0.8010267615318298,https://youtube.com/watch?v=WKGwe-f_yO4,0,0.0
ZGAMO-B9MzE,0.7984579205513,https://youtube.com/watch?v=ZGAMO-B9MzE,0,0.0
SIXPh-5bg04,0.8027201294898987,https://youtube.com/watch?v=SIXPh-5bg04,1,1.0
WJyXs-iqzEY,0.808034360408783,https://youtube.com/watch?v=WJyXs-iqzEY,1,1.0
gWmaR-GxSrc,0.8015644550323486,https://youtube.com/watch?v=gWmaR-GxSrc,1,1.0
ZHedO-RQLXs,0.801535427570343,https://youtube.com/watch?v=ZHedO-RQLXs,1,1.0
Qypkw-fciyQ,0.7030275464057922,https://youtube.com/watch?v=Qypkw-fciyQ,1,1.0
rZxvu-zIn7Q,0.6984293460845947,https://youtube.com/watch?v=rZxvu-zIn7Q,1,1.0
EBcVS-CaYzM,0.7094125747680664,https://youtube.com/watch?v=EBcVS-CaYzM,1,1.0
wQuoR-xs9-Q,0.7056046724319458,https://youtube.com/watch?v=wQuoR-xs9-Q,1,1.0
WLWTN-Or3fE,0.7044433355331421,https://youtube.com/watch?v=WLWTN-Or3fE,0,0.0
BoTnr-prtnY,0.7079131603240967,https://youtube.com/watch?v=BoTnr-prtnY,0,0.0
doVLi-pGcN4,0.6982170343399048,https://youtube.com/watch?v=doVLi-pGcN4,1,1.0
mculq-UXW8s,0.69959956407547,https://youtube.com/watch?v=mculq-UXW8s,1,0.0
zBWmR-N0KpA,0.7077814340591431,https://youtube.com/watch?v=zBWmR-N0KpA,0,
