id,__label__lvs_Latn,link,text_lang,video_lang
gwFge-fG-Z8,1.0000100135803225,https://youtube.com/watch?v=gwFge-fG-Z8,1.0,1.0
fOkFU-PgVBY,0.999984860420227,https://youtube.com/watch?v=fOkFU-PgVBY,1.0,1.0
qiYlz-3dVWU,1.000008463859558,https://youtube.com/watch?v=qiYlz-3dVWU,1.0,1.0
ZAUCG-yO4Ho,1.0000097751617432,https://youtube.com/watch?v=ZAUCG-yO4Ho,1.0,0.5
MXVjh-6vGU0,0.9999395608901978,https://youtube.com/watch?v=MXVjh-6vGU0,1.0,1.0
KFDnO-n7bZ4,0.9912314414978028,https://youtube.com/watch?v=KFDnO-n7bZ4,0.0,0.0
vLGwT-7T7_8,0.998651921749115,https://youtube.com/watch?v=vLGwT-7T7_8,1.0,1.0
cZfFo-TWXFY,0.9922794103622437,https://youtube.com/watch?v=cZfFo-TWXFY,0.5,0.5
RauCe-eFpsM,1.0000065565109253,https://youtube.com/watch?v=RauCe-eFpsM,1.0,1.0
kqxss-wSQOY,0.9997883439064026,https://youtube.com/watch?v=kqxss-wSQOY,1.0,1.0
yrDlq-4V2ks,0.9509295225143432,https://youtube.com/watch?v=yrDlq-4V2ks,0.0,0.0
neZEE-Jy2Xs,0.8941905498504639,https://youtube.com/watch?v=neZEE-Jy2Xs,0.0,0.0
fJQDS-nVoCE,0.8969931602478027,https://youtube.com/watch?v=fJQDS-nVoCE,0.0,0.0
Oesfy-fGnPw,0.8929526805877686,https://youtube.com/watch?v=Oesfy-fGnPw,0.0,0.0
LiSuy-vDDTk,0.8001790642738342,https://youtube.com/watch?v=LiSuy-vDDTk,0.0,0.0
waeGf-sXgIw,0.8002625703811646,https://youtube.com/watch?v=waeGf-sXgIw,0.0,0.0
BKmly-uBv64,0.8039747476577759,https://youtube.com/watch?v=BKmly-uBv64,0.0,0.0
lGpzL-zFmPU,0.696439802646637,https://youtube.com/watch?v=lGpzL-zFmPU,0.5,0.5
pqHDA-qgZus,0.7045493721961975,https://youtube.com/watch?v=pqHDA-qgZus,0.0,0.0
nfzHy-BnMSw,0.6087555885314941,https://youtube.com/watch?v=nfzHy-BnMSw,0.0,0.0
yempC-xAL-E,0.5091860294342041,https://youtube.com/watch?v=yempC-xAL-E,0.0,0.0
rGXjN-nPdlw,0.4985004365444183,https://youtube.com/watch?v=rGXjN-nPdlw,0.0,0.0
UewKW-fZnw0,0.394851952791214,https://youtube.com/watch?v=UewKW-fZnw0,0.0,0.0
MlbOt-Og2oI,0.3942156434059143,https://youtube.com/watch?v=MlbOt-Og2oI,0.0,0.0
mPFJF-FoDUg,0.3909417390823364,https://youtube.com/watch?v=mPFJF-FoDUg,0.0,0.0
iKTlH-gU_O0,0.3930783569812774,https://youtube.com/watch?v=iKTlH-gU_O0,0.0,0.0
WDubE-zvM80,0.4040550291538238,https://youtube.com/watch?v=WDubE-zvM80,0.0,0.0
kAerd-bAwUE,0.3032849133014679,https://youtube.com/watch?v=kAerd-bAwUE,0.0,0.0
LtQQW-3Kmb4,0.3052231073379516,https://youtube.com/watch?v=LtQQW-3Kmb4,0.0,0.0
NRSZl-jPb2A,0.3078711032867431,https://youtube.com/watch?v=NRSZl-jPb2A,0.0,0.0
pcYgT-EcsNQ,0.2960172295570373,https://youtube.com/watch?v=pcYgT-EcsNQ,0.0,0.0
YiRGE-_AJmg,0.2910596430301666,https://youtube.com/watch?v=YiRGE-_AJmg,0.0,0.0
zrjGe-zSoTo,0.2987940013408661,https://youtube.com/watch?v=zrjGe-zSoTo,0.0,0.0
SepAr-ZS2Cg,0.2930673062801361,https://youtube.com/watch?v=SepAr-ZS2Cg,0.5,1.0
BcpWK-kBd5A,0.3057361245155334,https://youtube.com/watch?v=BcpWK-kBd5A,0.0,0.0
yfhVp-c4Cvk,0.2939035594463348,https://youtube.com/watch?v=yfhVp-c4Cvk,0.0,0.0
eKYzr-TLgR4,0.3072225749492645,https://youtube.com/watch?v=eKYzr-TLgR4,0.0,0.0
bcblg-YcceY,0.194937378168106,https://youtube.com/watch?v=bcblg-YcceY,0.0,0.0
wFijm-UrU14,0.2000131011009216,https://youtube.com/watch?v=wFijm-UrU14,0.0,0.0
XCFHz-pQmb0,0.2012153416872024,https://youtube.com/watch?v=XCFHz-pQmb0,0.0,0.0
uofCJ-8rPHw,0.1953741908073425,https://youtube.com/watch?v=uofCJ-8rPHw,0.0,0.0
bFXAy-onxxo,0.19751538336277,https://youtube.com/watch?v=bFXAy-onxxo,0.0,0.0
CUCDa-4Cuoo,0.2086115777492523,https://youtube.com/watch?v=CUCDa-4Cuoo,0.0,0.0
YzGxR-dZVNg,0.2031053453683853,https://youtube.com/watch?v=YzGxR-dZVNg,0.0,0.0
FsXWM-keBbg,0.1979698091745376,https://youtube.com/watch?v=FsXWM-keBbg,0.0,0.0
FTMcb-STG-U,0.2053461819887161,https://youtube.com/watch?v=FTMcb-STG-U,0.0,0.0
lrvYA-3LrWU,0.1974573284387588,https://youtube.com/watch?v=lrvYA-3LrWU,0.0,0.0
AafLK-wsqik,0.1092505604028701,https://youtube.com/watch?v=AafLK-wsqik,0.0,0.0
ARoiW-fQL1M,0.099444456398487,https://youtube.com/watch?v=ARoiW-fQL1M,0.0,0.0
TkuMt-fkEFg,0.1055206432938575,https://youtube.com/watch?v=TkuMt-fkEFg,0.0,0.0
UWCQi-DlXSU,0.096923179924488,https://youtube.com/watch?v=UWCQi-DlXSU,0.0,0.0
GltPx-EZcYQ,0.0972629338502883,https://youtube.com/watch?v=GltPx-EZcYQ,0.0,0.0
lnkmr-hPVdM,0.1030542701482772,https://youtube.com/watch?v=lnkmr-hPVdM,0.0,0.0
MUsHO-bytbA,0.1017100140452385,https://youtube.com/watch?v=MUsHO-bytbA,0.0,0.0
pkCLM-pPCs0,0.1092692092061042,https://youtube.com/watch?v=pkCLM-pPCs0,0.0,0.0
Velmx-SngNg,0.1059958636760711,https://youtube.com/watch?v=Velmx-SngNg,0.0,0.0
JDhys-0Jnvw,0.1038577556610107,https://youtube.com/watch?v=JDhys-0Jnvw,0.0,0.0
SPElc-g_DFo,0.0598146468400955,https://youtube.com/watch?v=SPElc-g_DFo,0.0,0.0
JAVjk-dP3kM,0.0592038556933403,https://youtube.com/watch?v=JAVjk-dP3kM,0.0,0.0
Nqvvs-Rrcxg,0.046250831335783,https://youtube.com/watch?v=Nqvvs-Rrcxg,0.0,0.0
TBEZe-8VFOM,0.0413105860352516,https://youtube.com/watch?v=TBEZe-8VFOM,0.0,0.0
zwBnZ-0c5-8,0.0402761287987232,https://youtube.com/watch?v=zwBnZ-0c5-8,0.0,0.0
VdCSf-4qBC8,0.0452834218740463,https://youtube.com/watch?v=VdCSf-4qBC8,0.0,0.0
GiHEE-RrkUc,0.058517400175333,https://youtube.com/watch?v=GiHEE-RrkUc,0.0,0.0
gxOJG-7MMn8,0.0576848462224006,https://youtube.com/watch?v=gxOJG-7MMn8,0.0,0.0
JkktY-dztgE,0.0417397171258926,https://youtube.com/watch?v=JkktY-dztgE,0.0,0.0
nxCqJ-_NwT4,0.0535722561180591,https://youtube.com/watch?v=nxCqJ-_NwT4,0.0,0.0
Wdgsl-Gg17E,0.0001477634796174,https://youtube.com/watch?v=Wdgsl-Gg17E,0.0,0.0
XQlNU-3x2G4,1.2625465387827717e-05,https://youtube.com/watch?v=XQlNU-3x2G4,0.0,0.0
dkImD-pW10w,1.000882821244886e-05,https://youtube.com/watch?v=dkImD-pW10w,0.0,0.0
Zwrba-k0d9E,1.1011874448740857e-05,https://youtube.com/watch?v=Zwrba-k0d9E,0.0,0.0
DpXkh-V1D-M,1.0000098882301243e-05,https://youtube.com/watch?v=DpXkh-V1D-M,0.0,0.0
hpvHf-nrb5E,0.0006434202659875,https://youtube.com/watch?v=hpvHf-nrb5E,0.0,0.0
jnpsy--LnYU,5.830761801917106e-05,https://youtube.com/watch?v=jnpsy--LnYU,0.0,0.0
UodNm-d841Q,1.077117667591665e-05,https://youtube.com/watch?v=UodNm-d841Q,0.0,0.0
AsnlX-gOq6I,0.0001043582597048,https://youtube.com/watch?v=AsnlX-gOq6I,0.0,0.0
yYzgX-dHDwU,1.0050187484011984e-05,https://youtube.com/watch?v=yYzgX-dHDwU,0.0,0.0
