id,__label__pol_Latn,link,text_lang,video_lang,Unnamed: 6
ccaFz-TusuQ,0.9976606965065002,https://youtube.com/watch?v=ccaFz-TusuQ,1.0,0.0,"no voice, but Polish registration plate"
EXloU-xsTkQ,0.997990071773529,https://youtube.com/watch?v=EXloU-xsTkQ,1.0,0.5,
IGvwv-AR_pc,0.9999743700027466,https://youtube.com/watch?v=IGvwv-AR_pc,1.0,1.0,
pFFYW-Ljqng,1.0000039339065552,https://youtube.com/watch?v=pFFYW-Ljqng,1.0,0.0,
xTAvj-M4wkY,0.9979639053344728,https://youtube.com/watch?v=xTAvj-M4wkY,1.0,,video not available anymore
vtsOl-9BESY,0.9931292533874512,https://youtube.com/watch?v=vtsOl-9BESY,1.0,0.5,
HUAxX--h_O8,0.9953758716583252,https://youtube.com/watch?v=HUAxX--h_O8,1.0,,Video not available anymore
tTrNs-QXe6Y,1.0000100135803225,https://youtube.com/watch?v=tTrNs-QXe6Y,1.0,,Video not available anymore
uIPzF-wWKNk,0.9969196915626526,https://youtube.com/watch?v=uIPzF-wWKNk,1.0,1.0,"No voices, but Polish words"
wlVAf-zvX6k,0.9999991655349731,https://youtube.com/watch?v=wlVAf-zvX6k,1.0,1.0,
gohbc-AwW2o,0.9556783437728882,https://youtube.com/watch?v=gohbc-AwW2o,1.0,1.0,"No voices, but Polish words"
IARty-H2N3A,0.9550986886024476,https://youtube.com/watch?v=IARty-H2N3A,0.5,0.0,
qUeKm-4QDeU,0.9452140927314758,https://youtube.com/watch?v=qUeKm-4QDeU,1.0,0.5,
Idwrb-zmS30,0.9564383029937744,https://youtube.com/watch?v=Idwrb-zmS30,0.5,1.0,
MfxcT-xTa_Q,0.9512489438056946,https://youtube.com/watch?v=MfxcT-xTa_Q,0.0,0.0,
UPKGS-h2mqg,0.9453832507133484,https://youtube.com/watch?v=UPKGS-h2mqg,0.5,,video not available anymore
tcdwx-zz15I,0.9591878652572632,https://youtube.com/watch?v=tcdwx-zz15I,1.0,1.0,
GLffD-48hx4,0.9413782954216005,https://youtube.com/watch?v=GLffD-48hx4,0.0,0.0,
kiiMU-iR74E,0.9528363943099976,https://youtube.com/watch?v=kiiMU-iR74E,1.0,1.0,
mBJOU--VZEo,0.9568434953689576,https://youtube.com/watch?v=mBJOU--VZEo,1.0,1.0,
Bocxm-0tnUI,0.9024491906166076,https://youtube.com/watch?v=Bocxm-0tnUI,0.5,0.0,
bLbmj-FkgZI,0.8921899199485779,https://youtube.com/watch?v=bLbmj-FkgZI,0.0,0.0,
lemjp-U_kl0,0.9042959213256836,https://youtube.com/watch?v=lemjp-U_kl0,0.5,1.0,
mEbiD-mdDJk,0.9085496068000792,https://youtube.com/watch?v=mEbiD-mdDJk,0.0,0.0,
atXWF-eT1JY,0.896455705165863,https://youtube.com/watch?v=atXWF-eT1JY,1.0,0.0,
kEpBu-mbDlc,0.8929973840713501,https://youtube.com/watch?v=kEpBu-mbDlc,0.0,0.0,
UxXmm-A0J8k,0.9022173881530762,https://youtube.com/watch?v=UxXmm-A0J8k,0.0,0.0,
MyuPx-JQ3Cg,0.9076915979385376,https://youtube.com/watch?v=MyuPx-JQ3Cg,0.0,0.0,
soWGt-5MlAY,0.9029454588890076,https://youtube.com/watch?v=soWGt-5MlAY,0.0,0.0,
smQYi-3N8Hs,0.8934202194213867,https://youtube.com/watch?v=smQYi-3N8Hs,0.0,0.0,
zAYQS-Bs14E,0.8074820637702942,https://youtube.com/watch?v=zAYQS-Bs14E,,0.0,
NJIeW-rSAsE,0.8055346608161926,https://youtube.com/watch?v=NJIeW-rSAsE,0.0,0.0,
pFdox-oU9j8,0.7969878911972046,https://youtube.com/watch?v=pFdox-oU9j8,0.5,0.0,
AQXeH-LEw8Y,0.7981621623039246,https://youtube.com/watch?v=AQXeH-LEw8Y,1.0,0.0,
xWAsG-5uvJc,0.7916460037231445,https://youtube.com/watch?v=xWAsG-5uvJc,0.0,0.0,
RWuLx-_f7wM,0.8055554032325745,https://youtube.com/watch?v=RWuLx-_f7wM,1.0,1.0,
NQBUd-yrXek,0.7994670867919922,https://youtube.com/watch?v=NQBUd-yrXek,0.0,0.0,
jiPqr-DaKSM,0.7913017272949219,https://youtube.com/watch?v=jiPqr-DaKSM,0.5,0.0,
nTWeU-Y2Lk4,0.8024253249168396,https://youtube.com/watch?v=nTWeU-Y2Lk4,0.0,0.0,
ouwGZ-3AH0g,0.791357159614563,https://youtube.com/watch?v=ouwGZ-3AH0g,0.0,0.0,
IhYcS-TYdFI,0.7075802087783813,https://youtube.com/watch?v=IhYcS-TYdFI,0.0,0.0,
EVXGv-00OVQ,0.7052159905433655,https://youtube.com/watch?v=EVXGv-00OVQ,0.0,0.0,
yEDNa-8Kzro,0.6988725066184998,https://youtube.com/watch?v=yEDNa-8Kzro,0.0,0.0,
qiOoy-bCR_Y,0.7095739245414734,https://youtube.com/watch?v=qiOoy-bCR_Y,0.0,0.0,
uQnWS-aBTt0,0.7042043805122375,https://youtube.com/watch?v=uQnWS-aBTt0,0.0,0.0,
yrCJQ-WZyCc,0.6998623609542847,https://youtube.com/watch?v=yrCJQ-WZyCc,0.0,0.0,
rCnbs-jWLZ0,0.708533525466919,https://youtube.com/watch?v=rCnbs-jWLZ0,0.0,0.0,
NQDHk-jTtew,0.7042948007583618,https://youtube.com/watch?v=NQDHk-jTtew,1.0,0.0,
rJdjs-sNs4A,0.7074852585792542,https://youtube.com/watch?v=rJdjs-sNs4A,0.0,0.0,
bgMSd-H5u0Y,0.6949217319488525,https://youtube.com/watch?v=bgMSd-H5u0Y,0.0,0.0,
qVbAU-G-ab4,0.5940781235694885,https://youtube.com/watch?v=qVbAU-G-ab4,0.0,0.0,
QgEwJ-O_KgM,0.5914924144744873,https://youtube.com/watch?v=QgEwJ-O_KgM,1.0,1.0,
BniKv-cLRPA,0.5990520715713501,https://youtube.com/watch?v=BniKv-cLRPA,0.0,0.0,
sbkxT-EZaiI,0.6077463626861572,https://youtube.com/watch?v=sbkxT-EZaiI,0.0,0.0,
TBIEP-hQBIg,0.601922333240509,https://youtube.com/watch?v=TBIEP-hQBIg,0.0,,video not available anymore
JIwkS-HN23g,0.5987264513969421,https://youtube.com/watch?v=JIwkS-HN23g,0.0,0.0,
fipAI-DAQ0Q,0.5973226428031921,https://youtube.com/watch?v=fipAI-DAQ0Q,0.0,0.0,
EOswI-kv0bc,0.5960794687271118,https://youtube.com/watch?v=EOswI-kv0bc,0.5,,video not available anymore
mWYQQ-JOT_I,0.6031995415687561,https://youtube.com/watch?v=mWYQQ-JOT_I,0.5,1.0,
Iwheu-b1zTA,0.6054644584655762,https://youtube.com/watch?v=Iwheu-b1zTA,0.0,0.0,
sReID-kh0Fs,0.5038375854492188,https://youtube.com/watch?v=sReID-kh0Fs,0.0,0.0,
oEXPF-aJnJM,0.5092226266860962,https://youtube.com/watch?v=oEXPF-aJnJM,0.0,0.0,
rYgPx-pA73c,0.4976893961429596,https://youtube.com/watch?v=rYgPx-pA73c,0.0,0.0,
yxitw-VZF8Q,0.4994117021560669,https://youtube.com/watch?v=yxitw-VZF8Q,0.0,0.0,
EasYg-LWutw,0.4986022412776947,https://youtube.com/watch?v=EasYg-LWutw,1.0,1.0,
vifyl-wPudE,0.5077602863311768,https://youtube.com/watch?v=vifyl-wPudE,0.0,0.0,
JHltd-6NLes,0.4927428066730499,https://youtube.com/watch?v=JHltd-6NLes,0.0,,video not available anymore
EdtEM-uj1vE,0.4913137555122375,https://youtube.com/watch?v=EdtEM-uj1vE,0.0,0.0,
MNJmw-8uWBU,0.4937798678874969,https://youtube.com/watch?v=MNJmw-8uWBU,0.0,0.0,
RIDBT-5N6BQ,0.503865122795105,https://youtube.com/watch?v=RIDBT-5N6BQ,1.0,1.0,
LwxDg-BqGxM,0.4077570140361786,https://youtube.com/watch?v=LwxDg-BqGxM,0.0,0.0,
HekUE-ZxuAM,0.4050478637218475,https://youtube.com/watch?v=HekUE-ZxuAM,0.0,0.0,
ToZFs-w-GYY,0.3963619768619537,https://youtube.com/watch?v=ToZFs-w-GYY,0.0,0.0,
vNhwa-2rEwA,0.3931169211864471,https://youtube.com/watch?v=vNhwa-2rEwA,0.0,0.0,
uCHLh-E2-T4,0.4011744260787964,https://youtube.com/watch?v=uCHLh-E2-T4,0.0,0.0,
UMvEo-hykms,0.4056195616722107,https://youtube.com/watch?v=UMvEo-hykms,0.0,0.0,
jKBYZ-7-xv8,0.3983822464942932,https://youtube.com/watch?v=jKBYZ-7-xv8,0.0,0.0,
ICmDj-GsyxI,0.4072346985340118,https://youtube.com/watch?v=ICmDj-GsyxI,0.0,0.0,
JpsYk-pXgS8,0.4072560667991638,https://youtube.com/watch?v=JpsYk-pXgS8,0.0,0.0,
EoVxG-HbRgI,0.3966270387172699,https://youtube.com/watch?v=EoVxG-HbRgI,0.0,0.0,
wFAmu-oAq4o,0.2901961803436279,https://youtube.com/watch?v=wFAmu-oAq4o,0.0,0.0,
xuHLn-ETzxI,0.2949807941913605,https://youtube.com/watch?v=xuHLn-ETzxI,0.0,,video not available anymore
kccYL-kOWv4,0.3049160838127136,https://youtube.com/watch?v=kccYL-kOWv4,0.0,0.0,
IzldK-O4S1Q,0.3046726584434509,https://youtube.com/watch?v=IzldK-O4S1Q,0.5,0.0,
FBMwP-S-VQU,0.2995194792747497,https://youtube.com/watch?v=FBMwP-S-VQU,0.0,0.0,
SNdST-q4hD0,0.300490528345108,https://youtube.com/watch?v=SNdST-q4hD0,0.0,0.0,
MLXDH-TfHfY,0.293390542268753,https://youtube.com/watch?v=MLXDH-TfHfY,0.0,0.0,
RKBeN-BEtS8,0.2912877202033996,https://youtube.com/watch?v=RKBeN-BEtS8,0.0,0.0,
AFhLb-wQxdo,0.2995728850364685,https://youtube.com/watch?v=AFhLb-wQxdo,0.0,,video not available anymore
ZJBUR-Eudmo,0.3009335696697235,https://youtube.com/watch?v=ZJBUR-Eudmo,0.0,0.0,
QXTPb-heJmM,0.191419318318367,https://youtube.com/watch?v=QXTPb-heJmM,0.0,0.0,
hcGsz-6zmvg,0.1928340941667556,https://youtube.com/watch?v=hcGsz-6zmvg,0.0,0.0,
