id,__label__por_Latn,link,text_lang,video_lang
dbrnG-lcNUw,0.9999905824661256,https://youtube.com/watch?v=dbrnG-lcNUw,1,1
ErgJs-hYFY8,0.9982945322990416,https://youtube.com/watch?v=ErgJs-hYFY8,1,1
yBMAV-wnrpI,1.0000097751617432,https://youtube.com/watch?v=yBMAV-wnrpI,1,1
lVgnj-QpmkA,0.9968780875205994,https://youtube.com/watch?v=lVgnj-QpmkA,"0,5",1
EsuZL-It7Rs,0.999581515789032,https://youtube.com/watch?v=EsuZL-It7Rs,1,1
RHqxJ-GFabc,0.996193826198578,https://youtube.com/watch?v=RHqxJ-GFabc,1,1
AJtjO-Mmlmc,0.9999090433120728,https://youtube.com/watch?v=AJtjO-Mmlmc,1,0
liqhu-pZNI8,0.9985712170600892,https://youtube.com/watch?v=liqhu-pZNI8,1,1
UPETv-pRrjg,0.9999405145645142,https://youtube.com/watch?v=UPETv-pRrjg,1,1
KtuoT-YZP5s,0.991632640361786,https://youtube.com/watch?v=KtuoT-YZP5s,"0,5",1
WYBlv-A4TQs,0.947738230228424,https://youtube.com/watch?v=WYBlv-A4TQs,"0,5","0,5"
IDtCl-CNovY,0.9551869034767152,https://youtube.com/watch?v=IDtCl-CNovY,"0,5",1
DmYMm-r2U2g,0.9518285393714904,https://youtube.com/watch?v=DmYMm-r2U2g,"0,5",1
aahDj-5i7wk,0.9509846568107604,https://youtube.com/watch?v=aahDj-5i7wk,"0,5",0
XJBUC-CMGr0,0.9510072469711304,https://youtube.com/watch?v=XJBUC-CMGr0,1,1
SnyBZ-fSyiY,0.9557349681854248,https://youtube.com/watch?v=SnyBZ-fSyiY,1,1
MZcvg-GiG30,0.9507220983505248,https://youtube.com/watch?v=MZcvg-GiG30,1,1
TOoNG-79tQo,0.9572625756263732,https://youtube.com/watch?v=TOoNG-79tQo,1,1
zGRDa-YR9VA,0.9532694816589355,https://youtube.com/watch?v=zGRDa-YR9VA,1,1
GCUos-XsmmA,0.9446219205856324,https://youtube.com/watch?v=GCUos-XsmmA,"0,5",1
rJilp-iPwcM,0.9001517295837402,https://youtube.com/watch?v=rJilp-iPwcM,1,1
GVVEC-6vUkk,0.9075735807418824,https://youtube.com/watch?v=GVVEC-6vUkk,1,1
pZyhB-I6Rx4,0.9006515145301819,https://youtube.com/watch?v=pZyhB-I6Rx4,1,1
amQII-roGI8,0.9077277183532716,https://youtube.com/watch?v=amQII-roGI8,1,
AeVPg-KlVuU,0.9069074392318726,https://youtube.com/watch?v=AeVPg-KlVuU,"0,5",1
HoFUm-AruFk,0.9015965461730956,https://youtube.com/watch?v=HoFUm-AruFk,"0,5",1
Eshio-U6ijk,0.9035274386405944,https://youtube.com/watch?v=Eshio-U6ijk,1,1
FuiTI-FFOCI,0.8968066573143005,https://youtube.com/watch?v=FuiTI-FFOCI,1,1
gmgnx-BNzaY,0.8982081413269043,https://youtube.com/watch?v=gmgnx-BNzaY,1,1
Dvibf-1Zwns,0.8970007300376892,https://youtube.com/watch?v=Dvibf-1Zwns,1,1
seDNL--Cw7Q,0.7904011607170105,https://youtube.com/watch?v=seDNL--Cw7Q,1,1
MjsPN-oqJt0,0.7977057099342346,https://youtube.com/watch?v=MjsPN-oqJt0,1,1
IDetX-rE_MM,0.8024485111236572,https://youtube.com/watch?v=IDetX-rE_MM,1,1
YoHBr-qmFsI,0.7903130650520325,https://youtube.com/watch?v=YoHBr-qmFsI,0,0
GyMcU-S-lKw,0.8097993731498718,https://youtube.com/watch?v=GyMcU-S-lKw,"0,5",1
oUQHb-wtpYo,0.8085002899169922,https://youtube.com/watch?v=oUQHb-wtpYo,"0,5",1
gCqrM--Tvx0,0.7943058609962463,https://youtube.com/watch?v=gCqrM--Tvx0,0,0
JQyvH-6l5j0,0.8052664399147034,https://youtube.com/watch?v=JQyvH-6l5j0,"0,5",1
fpeGx-hwsfk,0.7953994870185852,https://youtube.com/watch?v=fpeGx-hwsfk,1,0
TWmTd-vTZBo,0.7984058856964111,https://youtube.com/watch?v=TWmTd-vTZBo,1,1
VLRyJ-hYxAA,0.7058168649673462,https://youtube.com/watch?v=VLRyJ-hYxAA,1,0
YeWjW-iIN3s,0.7038732767105103,https://youtube.com/watch?v=YeWjW-iIN3s,1,1
tmzBZ-3vweo,0.6910696625709534,https://youtube.com/watch?v=tmzBZ-3vweo,"0,5",1
dYQna-winBw,0.7013665437698364,https://youtube.com/watch?v=dYQna-winBw,1,
RMaSU-Eoyhw,0.7000606656074524,https://youtube.com/watch?v=RMaSU-Eoyhw,1,0
uyjYe-5vRPI,0.6906743049621582,https://youtube.com/watch?v=uyjYe-5vRPI,1,1
hdzdL-cqCCg,0.7032367587089539,https://youtube.com/watch?v=hdzdL-cqCCg,0,0
ItdTj-JHxuw,0.7000606656074524,https://youtube.com/watch?v=ItdTj-JHxuw,1,
lctez-sUu7g,0.6955390572547913,https://youtube.com/watch?v=lctez-sUu7g,1,1
fXhCF-qvOVs,0.7080011367797852,https://youtube.com/watch?v=fXhCF-qvOVs,"0,5",0
