id,__label__spa_Latn,link,text_lang,video_lang
vxiTU-0TgNg,0.9967674612998962,https://youtube.com/watch?v=vxiTU-0TgNg,1.0,1.0
Wfbck-zWnWQ,0.9976201057434082,https://youtube.com/watch?v=Wfbck-zWnWQ,1.0,1.0
MqcqX-Zjuyg,0.9987879395484924,https://youtube.com/watch?v=MqcqX-Zjuyg,1.0,1.0
KfpPV-ZImTg,0.9999511241912842,https://youtube.com/watch?v=KfpPV-ZImTg,1.0,1.0
SHkKK--cAvc,0.9981215000152588,https://youtube.com/watch?v=SHkKK--cAvc,1.0,
JXBIU-rP5N4,0.9999727010726928,https://youtube.com/watch?v=JXBIU-rP5N4,1.0,
HWBqi-f0biE,0.9939025640487672,https://youtube.com/watch?v=HWBqi-f0biE,1.0,1.0
EVASP-vv9Rc,0.9981465339660645,https://youtube.com/watch?v=EVASP-vv9Rc,1.0,1.0
xbOxQ-SFpss,0.9984307289123536,https://youtube.com/watch?v=xbOxQ-SFpss,1.0,1.0
fIoBe-svIgs,0.999314785003662,https://youtube.com/watch?v=fIoBe-svIgs,1.0,
fxjLX-K1Rec,0.9431384801864624,https://youtube.com/watch?v=fxjLX-K1Rec,0.5,1.0
qKxTL-1bLbg,0.951326847076416,https://youtube.com/watch?v=qKxTL-1bLbg,0.5,1.0
wXnTO-VfKtw,0.9442541003227234,https://youtube.com/watch?v=wXnTO-VfKtw,1.0,1.0
ioYVU-OMOlo,0.941673219203949,https://youtube.com/watch?v=ioYVU-OMOlo,1.0,1.0
SDMsS-FGqmA,0.9544084668159484,https://youtube.com/watch?v=SDMsS-FGqmA,1.0,1.0
PIOAO-r3oY0,0.9503119587898254,https://youtube.com/watch?v=PIOAO-r3oY0,1.0,0.0
nWyNr-qWePQ,0.956137478351593,https://youtube.com/watch?v=nWyNr-qWePQ,1.0,1.0
UgOuQ-amdC4,0.944905698299408,https://youtube.com/watch?v=UgOuQ-amdC4,0.5,1.0
ygrnb-bQ6i0,0.9561206698417664,https://youtube.com/watch?v=ygrnb-bQ6i0,1.0,1.0
OxpZd-KmV6A,0.9572720527648926,https://youtube.com/watch?v=OxpZd-KmV6A,1.0,1.0
wmEqC-DgW4Q,0.904047966003418,https://youtube.com/watch?v=wmEqC-DgW4Q,1.0,1.0
dWbFZ-vrXb8,0.8976448774337769,https://youtube.com/watch?v=dWbFZ-vrXb8,1.0,1.0
gNjFA-NOMoI,0.8931418061256409,https://youtube.com/watch?v=gNjFA-NOMoI,1.0,1.0
aFgvW-457is,0.9020788669586182,https://youtube.com/watch?v=aFgvW-457is,1.0,1.0
ouVTv-R0RqE,0.9013394117355348,https://youtube.com/watch?v=ouVTv-R0RqE,1.0,1.0
QGAiZ-11h5k,0.8942961692810059,https://youtube.com/watch?v=QGAiZ-11h5k,0.5,1.0
