Primary Language,jan-jun23,jul-dec23,jan-jun24,jul-dec24,Average mod count
Bulgarian,0,,0,0,0
Croatian,0,,3,2,2
Czech,0,0,0,0,0
Danish,0,0,0,0,0
Dutch,9,8,8,8,8
English,0,1152,1507,"1,443",1026
Estonian,0,,0,0,0
Finnish,0,,1,0,0
French,30,31,32,28,30
German,20,23,22,19,21
Greek,0,,0,0,0
Hungarian,0,,0,0,0
Irish,0,,0,0,0
Italian,13,23,16,11,16
Latvian,0,,0,0,0
Lithuanian,0,,2,0,1
Maltese,0,,0,0,0
Polish,10,10,10,10,10
Portuguese,33,34,38,36,35
Romanian,0,1,0,0,0
Slovak,0,,0,0,0
Slovenian,0,,0,0,0
Spanish,31,40,36,29,34
Swedish,0,0,0,0,0
global,820,1150,1510,,
total,146,1322,1675,,
