Primary Language,aug23_oct23,oct23_march24,apr24_sep24,oct24_dec24,Average mod count
Bulgarian,20,20,39,55,34
Croatian,25,29,43,56,38
Czech,19,18,45,63,36
Danish,17,25,30,39,28
Dutch,54,52,96,154,89
English,86,98,183,212,145
Estonian,3,3,3,6,4
Finnish,15,15,20,24,19
French,206,211,540,630,397
German,242,223,406,470,335
Greek,22,23,30,37,28
Hungarian,24,24,30,44,31
Irish,0,0,0,0,0
Italian,179,164,362,427,283
Latvian,2,2,3,4,3
Lithuanian,6,6,11,11,9
Maltese,1,1,1,1,1
Polish,65,66,103,112,87
Portuguese,50,45,1122,2088,826
Romanian,35,35,64,74,52
Slovak,11,12,39,49,28
Slovenian,9,7,8,8,8
Spanish,126,128,2325,3110,1422
Swedish,21,23,45,78,42
total,1238,1230,5548,,2672
