Primary Language,Aug-23,jul-dec23,jan-jun24,jul-dec24,average mod count
Arabic,529,,,,529
Danish,23,15,11,11,15
Dutch,24,20,23,26,23
English,"1,011","1,148",1193,1108,1115
Finnish,12,6,6,7,8
French,250,228,233,163,219
German,72,73,77,65,72
Hebrew,1,,,,1
Hindi,29,,,,29
Indonesian,7,,,,7
Italian,18,14,14,0,12
Japanese,4,,,,4
Mandarin,4,,,,4
Norwegian,32,27,29,30,30
Polish,4,4,4,0,3
Portuguese,36,6,8,3,13
Punjabi,15,,,,15
Romanian,4,5,5,3,4
Russian,10,11,,,11
Spanish,70,60,49,38,54
Swedish,21,24,21,18,21
Tagalog,5,,,,5
Tamil,7,,,,7
Turkish,7,,,4,6
Ukrainian,3,3,,,3
