Language,Mean,CI_lower,CI_upper
Polish,0.5441413284396956,0.5428579175312871,0.5454113901056431
Dutch,1.1406081557559478,1.1377908159980359,1.1434096447724316
Italian,1.2502308074293789,1.2479862237146158,1.2523970273758749
Croatian,1.4365898801116606,1.4323930335290334,1.4408949769583568
Spanish,1.8165441367009385,1.8155571402012534,1.817460759125696
Arabic,1.8173010633915387,1.8163955511854937,1.8181925729531074
Portuguese,2.519308309255665,2.5177356314613637,2.52076179127598
Hebrew,9.648472979397862,9.606335190593079,9.6883235051184
French,21.471043001439742,21.446289323589262,21.495198119039785
English,27.309491775208887,27.305242561120973,27.313910925079146
German,55.51801114415902,55.42976808094125,55.6091811404594
Bulgarian,61.17792156299918,60.33806603193829,61.9907270869365
