lang,mean,ci_lower,ci_upper,lang_abbr,lang_full
__label__baltic,43.117079893490825,25.827719337455136,73.79268551349452,baltic,Baltic State Languages
__label__bul_Cyrl,17.4356866809423,9.98387618003553,31.961088850290757,bul_Cyrl,Bulgarian
__label__hrv_Latn,18.796831590755538,15.155730460513446,23.415571623987873,hrv_Latn,Croatian
__label__ces_Latn,35.53269280492648,25.356288280474853,51.68552995993945,ces_Latn,Czech
__label__dan_Latn,22.788551395348588,13.922048360767429,39.97036342013195,dan_Latn,Danish
__label__fin_Latn,22.56170447211869,14.473766678916785,37.94256047045935,fin_Latn,Finnish
__label__ell_Grek,24.616366137822713,16.65653801218582,37.95775880302762,ell_Grek,Greek
__label__hun_Latn,23.4444995323764,16.015679299548452,34.864300133189644,hun_Latn,Hungarian
__label__ron_Latn,19.072650831231414,14.608123415615708,25.180251711097583,ron_Latn,Romanian
__label__slk_Latn,20.318546219732575,11.198290173355717,39.62504699534655,slk_Latn,Slovak
__label__slv_Latn,81.85692245571305,50.262486226517325,127.13001398562263,slv_Latn,Slovenian
__label__swe_Latn,15.504489397070232,10.657146370906172,23.505246802607953,swe_Latn,Swedish
__label__nld_Latn,33.095604769648745,24.998648899963396,44.610266654661395,nld_Latn,Dutch
__label__eng_Latn,8.098934056159225,8.020402871692443,8.174708336210596,eng_Latn,English
__label__fra_Latn,16.45817991673457,14.66963326049281,18.324092477861015,fra_Latn,French
__label__deu_Latn,23.90663270112589,21.322282942085995,26.953143880068783,deu_Latn,German
__label__ita_Latn,15.316884035037791,13.061750162875468,17.714841898387554,ita_Latn,Italian
__label__pol_Latn,42.96620495434516,35.48073024297118,52.006983808942984,pol_Latn,Polish
__label__por_Latn,3.956803876433283,3.7514975395226733,4.162798572500024,por_Latn,Portuguese
__label__spa_Latn,4.868019224198333,4.6692975315806455,5.085891009147471,spa_Latn,Spanish
