Language,YouTube_mod_count,Meta_mod_count,TikTok_mod_count,LinkedIn_mod_count,Twitter_mod_count,Snapchat_mod_count,country,LinkedIn_user_count,Twitter_user_count,Snapchat_user_count,YouTube_user_count,Meta_user_count,TikTok_user_count
Bulgarian,16,34,48,0,1,0,Bulgaria,300000,723020,814568,,,
Croatian,33,38,19,2,1,0,Croatia,275000,845467,662161,,,
Czech,48,36,59,0,0,0,Czechia,650000,2265623,1169639,,,
Danish,15,28,29,0,0,15,Denmark,1450000,1252886,2738763,,,
Dutch,66,89,147,8,1,23,,,,,,,
English,10013,145,1873,1026,1660,1115,,,,,,,
Estonian,7,4,9,0,0,0,Estonia,100000,309281,272064,,,
Finnish,22,19,37,0,0,8,Finland,750000,2091234,1792859,,,
French,299,397,494,30,61,219,,,,,,,
German,273,335,709,21,71,72,,,,,,,
Greek,39,28,67,0,0,0,Greece,675000,2150774,1099162,,,
Hungarian,38,31,56,0,0,0,Hungary,450000,1410832,1176164,,,
Irish,2,0,0,0,0,0,,,,,,,
Italian,162,283,396,16,2,12,,,,,,,
Latvian,9,3,13,0,1,0,Latvia,100000,466261,317661,,,
Lithuanian,13,9,11,1,0,0,Lithuania,225000,632877,501885,,,
Maltese,0,1,0,0,0,0,,,,,,,
Polish,228,87,180,10,1,3,,,,,,,
Portuguese,354,826,148,35,29,13,,,,,,,
Romanian,59,52,124,0,0,4,Romania,950000,2196897,2779817,,,
Slovak,10,28,39,0,0,0,Slovakia,200000,599774,592308,,,
Slovenian,11,8,41,0,0,0,Slovenia,150000,555466,445974,,,
Spanish,579,1422,500,34,29,54,,,,,,,
Swedish,24,42,98,0,0,21,Sweden,2025000,2856922,4542780,,,
,,,,,,,,,,,,,
,,,,,,,EU Total,49150000,113527761,"94,868,883",,,
