Country Name,Nov23,Apr24,Oct24,average user count
Austria,1752835,1437889,1407639,1532788
Belgium,3397437,2831505,2554882,2927941
Bulgaria,772406,691546,705107,723020
Croatia,391036,293232,768561,484276
Cyprus,2485304,2253231,274853,1671129
Czechia,16349501,15675930,2058333,11361255
Denmark,1383787,1201690,1173182,1252886
Estonia,346433,286568,294843,309281
Finland,22981471,18348911,2317605,14549329
France,2147107,1808989,20123795,8026630
Germany,21933285,19884883,16956143,19591437
Greece,2676172,1874679,1901470,2150774
Hungary,1016951,750888,1239000,1002280
Ireland,1619256,1374240,2327252,1773583
Italy,3319714,2643524,8198871,4720703
Latvia,9145723,8016904,439888,5867505
Lithuania,613161,728644,556826,632877
Luxembourg,315666,290686,232447,279600
Malta,465376,493518,123780,360891
Netherlands,150360,126794,8371941,2883032
Poland,8929195,7793036,9113116,8611782
Portugal,13937314,11679562,2473716,9363531
Romania,3035984,2578271,1905881,2506712
Slovakia,2378344,2306467,533508,1739440
Slovenia,3201925,2708729,446017,2118890
Spain,697813,522569,16112258,5777547
Sweden,677395,588420,2660113,1308643
,126120951,109191305,105271027,113527761
"* For Twitter/X user count, we used the total active recipients of the service (AMARS) reported.",,,,
